time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-27T12:01:01.620Z,35.6548333,-117.4845,2.06,2.62,ml,31,88,0.1446,0.13,ci,ci40366648,2022-10-27T15:34:00.548Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.38,0.182,78,reviewed,ci,ci
2022-10-27T10:13:11.100Z,36.551,-89.6845,9.19,2.81,md,68,22,0.0244,0.11,nm,nm60414366,2022-10-27T15:37:45.635Z,"6 km SSE of Catron, Missouri",earthquake,0.16,0.29,0.109,62,reviewed,nm,nm
2022-10-26T18:05:00.548Z,28.58093262,-98.70013787,15.11303711,3.3,ml,24,68,0.2447791107,0.5,tx,tx2022uzvs,2022-10-26T18:43:33.483Z,"16 km NE of Fowlerton, Texas",earthquake,2.755649615,1.51131099,0.1,30,reviewed,tx,tx
2022-10-26T16:42:28.867Z,28.44268799,-98.78389246,5.355590819999999,3,ml,18,85,0.3165007665,0.4,tx,tx2022uzsz,2022-10-27T11:41:59.684Z,"3 km SE of Fowlerton, Texas",earthquake,2.41499299,1.958838461,0.1,11,reviewed,tx,tx
2022-10-26T13:10:08.530Z,36.3023333,-89.4693333,6.1,2.73,md,54,33,0.007202,0.13,nm,nm60414171,2022-10-27T00:45:37.725Z,"4 km NNE of Ridgely, Tennessee",earthquake,0.17,0.36,0.051,43,reviewed,nm,nm
2022-10-26T08:15:08.220Z,33.6378333,-116.7423333,13.73,2.75,ml,113,13,0.04763,0.2,ci,ci40365968,2022-10-27T05:03:26.040Z,"11km NW of Anza, CA",earthquake,0.11,0.23,0.179,28,reviewed,ci,ci
2022-10-26T08:14:35.080Z,33.6383333,-116.7436667,13.64,2.85,ml,94,39,0.04768,0.21,ci,ci40365960,2022-10-27T05:19:46.040Z,"11km NW of Anza, CA",earthquake,0.14,0.27,0.176,148,reviewed,ci,ci
2022-10-26T06:24:19.660Z,38.5471667,-119.534,4.12,3.05,ml,24,64,0.04026,0.08,nc,nc73799336,2022-10-26T16:19:42.867Z,"6km NW of Walker, CA",earthquake,0.16,0.31,0.196,51,reviewed,nc,nc
2022-10-26T00:20:10.600Z,37.3163333,-121.6811667,7.98,2.72,md,109,39,0.03981,0.07,nc,nc73799211,2022-10-27T01:11:38.040Z,"14km ESE of Alum Rock, CA",earthquake,0.08,0.2,0.154,137,reviewed,nc,nc
2022-10-25T22:08:37.200Z,37.3106667,-121.6751667,8.05,3.54,mw,124,28,0.04039,0.08,nc,nc73799186,2022-10-27T16:04:23.532Z,"15km E of Seven Trees, CA",earthquake,0.08,0.19,,4,reviewed,nc,nc
2022-10-25T18:47:20.050Z,37.3056667,-121.6731667,6.66,2.94,ml,120,27,0.04341,0.07,nc,nc73799096,2022-10-26T18:24:37.945Z,"15km E of Seven Trees, CA",earthquake,0.08,0.21,0.16,56,reviewed,nc,nc
2022-10-25T18:42:02.710Z,37.3115,-121.672,8.38,5.06,mw,199,28,0.03815,0.1,nc,nc73799091,2022-10-27T16:04:09.517Z,"15km ESE of Alum Rock, CA",earthquake,0.08,0.18,,3,reviewed,nc,nc
2022-10-25T11:00:40.335Z,32.9958,-105.9149,5,3,mb_lg,28,93,1.175,0.35,us,us6000iwb8,2022-10-26T15:11:41.425Z,"3 km NE of La Luz, New Mexico",earthquake,3.24,1.882,0.069,77,reviewed,us,us
2022-10-25T09:25:27.730Z,36.5876667,-81.0625,2.96,2.59,md,23,52,0.5667,0.2,se,se60413966,2022-10-27T10:48:23.243Z,"Virginia-North Carolina border region",earthquake,0.42,1.88,0.038,18,reviewed,se,se
2022-10-25T02:02:01.995Z,31.67492506,-104.3714882,7.622631836000001,2.6,ml,36,45,0.05491849058,0.2,tx,tx2022uwul,2022-10-25T19:10:27.538Z,"55 km S of Whites City, New Mexico",earthquake,0.7342701433999999,0.9619820673,0.1,7,reviewed,tx,tx
2022-10-24T23:19:02.470Z,33.9898333,-116.9996667,15.02,2.66,ml,101,25,0.07009,0.19,ci,ci40365304,2022-10-25T20:39:12.873Z,"5km E of Calimesa, CA",earthquake,0.13,0.34,0.113,24,reviewed,ci,ci
2022-10-24T18:56:30.321Z,44.3245,-115.1672,10,3,ml,16,63,0.936,0.52,us,us6000iw52,2022-10-25T23:31:02.627Z,"21 km WNW of Stanley, Idaho",earthquake,2.35,2.012,0.045,64,reviewed,us,us
2022-10-24T06:28:33.530Z,38.7948341,-122.7774963,3.32,2.6,md,50,58,0.00831,0.05,nc,nc73798496,2022-10-24T20:17:52.289Z,"3km NW of The Geysers, CA",earthquake,0.15,0.25,0.09,41,automatic,nc,nc
2022-10-23T18:16:23.050Z,40.5781667,-124.14,28.35,4.1,mw,41,49,0.008112,0.13,nc,nc73798306,2022-10-26T04:46:41.920Z,"3km SSE of Fortuna, CA",earthquake,0.26,0.58,,3,reviewed,nc,nc
2022-10-23T15:37:34.202Z,32.78411865,-100.6872856,2.421020508,2.898075421,mlv,11,66,0.08933287929,0.1,tx,tx2022uuei,2022-10-23T16:49:14.040Z,"",earthquake,0.8888071533000002,1.499121693,0.1622967629,9,reviewed,tx,tx
2022-10-23T15:14:11.820Z,37.1215,-121.5215,6.31,2.65,md,90,30,0.06295,0.11,nc,nc73798266,2022-10-25T19:29:17.343Z,"9km ENE of San Martin, CA",earthquake,0.11,0.32,0.167,136,reviewed,nc,nc
2022-10-23T09:24:58.150Z,33.4806667,-116.4261667,5.79,3.27,ml,120,25,0.04262,0.19,ci,ci40364760,2022-10-24T04:43:53.805Z,"23km SSW of La Quinta, CA",earthquake,0.1,0.32,0.148,171,reviewed,ci,ci
2022-10-22T19:41:33.840Z,36.83533333,-97.87183333,7.18,2.93,ml,95,74,0,0.22,ok,ok2022usqw,2022-10-24T12:45:05.062Z,"6 km SE of Wakita, Oklahoma",earthquake,,0.6,0.2,34,reviewed,ok,ok
2022-10-22T14:32:42.450Z,39.3107,-114.5493,10,2.9,ml,10,58.18,0.355,0.3486,nn,nn00849783,2022-10-23T03:03:54.632Z,"22 km ESE of McGill, Nevada",earthquake,,0,0.59,5,reviewed,nn,nn
2022-10-22T09:30:14.356Z,39.6096,-116.9273,12.8,3.4,ml,15,93.62,0.8,0.1924,nn,nn00849777,2022-10-23T03:02:35.633Z,"17 km NE of Austin, Nevada",earthquake,,2.4,0.26,7,reviewed,nn,nn
2022-10-22T07:22:45.991Z,39.6995,-116.7163,9.8,2.8,ml,5,130.7,0.938,0.1969,nn,nn00849776,2022-10-24T18:21:00.830Z,"38 km NE of Austin, Nevada",earthquake,,3.3,0.08,2,reviewed,nn,nn
2022-10-22T06:25:20.450Z,37.8046684,-122.6044998,4.07,2.58,md,47,93,0.09501,0.07,nc,nc73797801,2022-10-25T20:25:53.133Z,"7km SSW of Muir Beach, CA",earthquake,0.24,0.61,0.11,52,automatic,nc,nc
2022-10-22T01:29:57.340Z,40.5906667,-124.0748333,24.1,2.61,md,34,33,0.1233,0.12,nc,nc73797716,2022-10-22T22:22:09.040Z,"5km NNE of Hydesville, CA",earthquake,0.26,0.53,0.148,31,reviewed,nc,nc
2022-10-21T20:57:35.150Z,31.68212359,-104.3957777,7.416967772999999,3.1,ml,47,45,0.04036775516,0.2,tx,tx2022uqxw,2022-10-26T21:35:28.000Z,"western Texas",earthquake,0.7480003862,0.7702511921,0.2,27,reviewed,tx,tx
2022-10-21T19:57:58.254Z,31.67243422,-104.4016123,6.74855957,3.7,ml,69,45,0.03061056725,0.2,tx,tx2022uqvy,2022-10-26T20:55:38.871Z,"western Texas",earthquake,0.7114874449,0.6520422468,0.1,32,reviewed,tx,tx
2022-10-21T19:57:57.995Z,31.6496,-104.4276,9.984,3.7,ml,27,102,0.065,0.31,us,us6000ivlt,2022-10-26T20:56:56.699Z,"58 km S of Whites City, New Mexico",earthquake,1.41,5.733,0.074,75,reviewed,us,us
2022-10-21T19:21:14.830Z,31.66692993,-104.3999478,6.851391602,3.1,ml,17,70,0.02938945526,0.2,tx,tx2022uqus,2022-10-21T19:47:51.461Z,"56 km S of Whites City, New Mexico",earthquake,1.253121004,1.051816863,0.2,25,reviewed,tx,tx
2022-10-21T18:54:22.400Z,38.8256667,-122.8228333,1.28,2.53,md,75,29,0.009862,0.05,nc,nc73797461,2022-10-22T07:31:11.240Z,"8km NW of The Geysers, CA",earthquake,0.08,0.13,0.18,50,reviewed,nc,nc
2022-10-21T18:50:26.600Z,38.8333333,-122.8171667,1.39,2.78,md,83,37,0.01137,0.05,nc,nc73797401,2022-10-22T05:38:09.516Z,"8km NW of The Geysers, CA",earthquake,0.08,0.15,0.187,70,reviewed,nc,nc
